property_price,property_location
"£1,400 pcm","Taywood Road, Northolt UB5"
"£1,500 pcm","High Street North, London E6"
"£2,700 pcm","Webber Street, London SE1"
"£5,000 pcm","Wendle Square, Battersea Park SW11"
"£1,400 pcm","Barville Close, London SE4"
"£2,100 pcm","Wild's Rents, London SE1"
"£3,033 pcm","Merchant Square East, London W2"
£775 pcm,"New Street Hill, Bromley BR1"
"£3,800 pcm","Cathles Rd, London SW12"
"£2,800 pcm","Palmer Road, London SW11"
"£2,150 pcm","Fencepiece Road, Ilford IG6"
"£3,700 pcm","Long Lane, London SE1"
"£5,350 pcm","Abell House, John Islip Street, Westminster, London SW1P"
"£2,375 pcm","Marsh Wall, Canary Wharf, – Studio Flat E22"
"£3,370 pcm","Camden Town, London NW1"
"£3,400 pcm","Orwell House, North West Quarter, Carlton Vale NW6"
"£1,850 pcm","Wheat Sheaf Close, London E14"
"£10,000 pcm","Lauderdale Drive, Richmond TW10"
"£2,350 pcm","Princes Court, Surrey Quays SE16"
"£6,250 pcm","Denton Road, Twickenham TW1"
"£3,400 pcm","Chamberlayne Avenue, Wembley HA9"
"£1,750 pcm","Edgware Road, London W2"
"£1,295 pcm","Althorpe Road, Harrow HA1"
"£3,000 pcm","Wilkinson Close, London NW2"
"£1,735 pcm","George Street, Croydon CR0"
"£1,950 pcm","Umber House, Lismore Boulevard, London NW9"
"£6,900 pcm","Ferme Park Road, Crouch End, London N8"
"£2,600 pcm","Hogarth Gardens, Hounslow TW5"
"£4,767 pcm","Pulse Apartments, 52 Lymington Road NW6"
"£2,300 pcm","Scarborough Road, London N4"
"£9,967 pcm","Park Lane, London W1K"
"£8,732 pcm","Park Road, London NW8"
"£2,050 pcm","Highbury Stadium Square, London N5"
"£17,333 pcm","Park Towers, Brick Street, London W1J"
"£2,150 pcm","Archway Road, London N6"
"£1,300 pcm","Anerley Road, London SE20"
"£1,150 pcm","Boltons Lane, Harlington UB3"
"£2,400 pcm","East Ferry Road, Heritage Tower E14"
"£2,383 pcm","Richmond Way, Shepherds Bush W12"
"£1,500 pcm","Benedicts Wharf, Highbridge Road, Barking IG11"
"£1,000 pcm","John Aird Court, London W2"
"£2,400 pcm","Fortis Green Road, London N10"
"£4,480 pcm","Marylebone, London W2"
"£8,732 pcm","Strathmore Court, Park Road, St Johns Wood, London NW8"
"£2,000 pcm","Warwick Road, London SW5"
"£2,200 pcm","Summerwood Road, Isleworth TW7"
"£1,000 pcm","Elmdene, Tolworth, Surbiton KT5"
"£2,000 pcm","Silverworks Close, London NW9"
"£2,700 pcm","Curlew Street, London SE1"
"£4,000 pcm","Edgware Road, London W2"
"£1,995 pcm","Talisman Tower, Lincoln Plaza, Canary Wharf, London E14"
"£2,199 pcm","Southwood Drive, Surbiton KT5"
"£2,925 pcm","George Street, London E14"
"£11,700 pcm","Prince Of Wales Terrace, London W8"
"£2,200 pcm","Southwood Drive, Surbiton KT5"
"£2,150 pcm","Kingsbury Road, London NW9"
"£2,100 pcm","Selborne Gardens, London NW4"
"£4,000 pcm","Baker Street, London NW1"
"£1,900 pcm","Gladding Road, London E12"
"£2,700 pcm","Kew Gardens Road, Kew, Richmond, Surrey TW9"
"£1,700 pcm","Kew Gardens Road, Kew, Richmond, Surrey TW9"
"£8,450 pcm","Grove End Road, St John's Wood, London NW8"
£750 pcm,"Ordnance Road, Enfield EN3"
£850 pcm,"Ordnance Road, Enfield EN3"
"£4,312 pcm","Cresta House, Finchley Road, Swiss Cottage NW3"
"£3,600 pcm","St George Wharf SW8, Vauxhall, London,"
"£1,900 pcm","Cleave Avenue, Hayes UB3"
"£17,333 pcm","Elystan Place, London SW3"
"£3,012 pcm","Turks Row, Sloane Square, London SW3"
"£4,500 pcm","Hermitage Street, London W2"
"£1,900 pcm","Somerford Grove, Dalston N16"
"£3,200 pcm","Copperfield Road, Mile End, London E3"
"£3,800 pcm","Horne Way, West Putney, London SW15"
"£5,634 pcm","Firth Gardens, Fulham, London SW6"
"£13,000 pcm","Studdridge Street, Fulham, London SW6"
"£2,145 pcm","Cromwell Road, South Kensington, London SW7"
"£2,400 pcm","Horne Way, West Putney, London SW15"
"£2,000 pcm","The Green, Southall UB2"
"£2,400 pcm","Sheepcote Road, Harrow HA1"
"£5,200 pcm","Ifield Road, Chelsea, London SW10"
"£2,750 pcm","Heygate Street, Elephant And Castle, London SE17"
"£1,650 pcm","Sheepcote Road, Harrow HA1"
"£5,000 pcm","Steedman Street, Elephant And Castle, London SE17"
"£2,275 pcm","Saltram Crescent, Maida Vale, London W9"
"£1,550 pcm","Streatham High Road, London SW16"
"£1,725 pcm","Copers Cope Road, Beckenham, Kent BR3"
"£1,919 pcm","Ark Wembley, First Way, Wembley HA9"
£850 pcm,"Yoxley Drive, Ilford IG2"
"£2,297 pcm","Corson House, London City Island, London E14"
"£1,850 pcm","Corbylands Road, Sidcup DA15"
"£3,750 pcm","Hyperion Tower, Pump House Crescent, Brentford TW8"
"£1,899 pcm","Ark Wembley, First Way, Wembley HA9"
"£1,733 pcm","The Hyde, London NW9"
"£1,650 pcm","Gosfield Street, London W1W"
"£4,000 pcm","Royal Mint Street, London E1"
"£1,559 pcm","Ark Wembley, First Way, Wembley HA9"
"£1,950 pcm","Westbere Road, London NW2"
