property_price,property_location,beds,baths,receptions,area_sq_ft
"£1,100 pcm","Maple Road, Surbiton KT6",1 bed,1 bath,1 reception,NA
"£1,350 pcm","Woodcote Road, Wallington SM6",1 bed,1 bath,1 reception,1819 sq. ft
"£1,600 pcm","Lower Flat, Bradgate Road, Catford SE6",1 bed,1 bath,1 reception,NA
"£2,600 pcm","Imperial Drive, North Harrow, Harrow HA2",3 beds,1 bath,2 receptions,NA
"£1,863 pcm","Hornsey Lane, Highgate, London N6",1 bed,1 bath,1 reception,NA
"£1,600 pcm","High Trees, Brixton, London SW2",1 bed,1 bath,1 reception,NA
"£1,898 pcm","Cambridge Road North, London W4",2 beds,1 bath,1 reception,NA
"£1,500 pcm","Rubix House, High Street, Southall UB1",1 bed,1 bath,1 reception,560 sq. ft
"£1,500 pcm","Luna Apartments, Field End Road, Eastcote HA4",1 bed,1 bath,1 reception,NA
"£3,705 pcm","Bollinder Place, Islington, London EC1V",2 beds,1 bath,2 receptions,NA
"£2,500 pcm","Hertsmere Road, London E14",2 beds,2 baths,1 reception,NA
"£2,210 pcm","Prime Meridian Walk, Canary Wharf, London E14",2 beds,2 baths,1 reception,NA
"£3,400 pcm","Eskdale Avenue, Northolt UB5",4 beds,2 baths,1 reception,1000 sq. ft
"£3,810 pcm","Shoreditch, London EC2A",1 bed,1 bath,457 sq. ft,NA
"£3,445 pcm","Bentinck House, Monck Street, Westminster, London SW1P",2 beds,2 baths,1 reception,822 sq. ft
"£2,349 pcm","Ben Jonson Road, Stepney Green, London E1",2 beds,2 baths,1 reception,NA
"£3,445 pcm","Hertsmere Road, Canary Wharf, London E14",2 beds,2 baths,1 reception,NA
"£6,067 pcm","Hertsmere Road, Canary Wharf, London E14",2 beds,2 baths,1 reception,NA
"£20,000 pcm","Lancaster Road, London SE25",10 beds,10 baths,2 receptions,NA
"£1,750 pcm","Regents Court, Stonegrove, Edgware HA8",2 beds,1 bath,1 reception,NA
"£1,550 pcm","1011 High Road, Whetstone N20",1 bed,1 bath,1 reception,NA
"£2,920 pcm","Ten Degrees, 100A George Street, Croydon CR0",3 beds,2 baths,1 reception,NA
"£2,145 pcm","Great Smith Street, London SW1P",1 bath,1 reception,NA,NA
"£2,750 pcm","Bunhill Row, London EC1Y",2 beds,1 bath,1 reception,NA
"£8,233 pcm","Prospect Way, Pico House, London SW11",2 beds,2 baths,1 reception,1401 sq. ft
"£1,450 pcm","Goldsmith Avenue, London E12",1 bed,1 bath,1 reception,NA
"£1,500 pcm","Craven Park Road, London NW10",1 bed,1 bath,1 reception,NA
"£1,950 pcm","2 Rookery Way, London NW9",2 beds,1 bath,1 reception,NA
£800 pcm,"Rannock Avenue, Kingsbury NW9",1 bed,3 baths,1 reception,NA
£867 pcm,"Wellesley Road, London E17",1 bed,1 bath,NA,NA
£780 pcm,"Devas Street, London E3",1 bed,2 baths,NA,NA
£823 pcm,"Bredel House, Mile End / Bow, London E14",1 bed,2 baths,NA,NA
£910 pcm,"367 Commercial Road, London E1",1 bed,1 bath,NA,NA
£867 pcm,"Old Church Road, London E1",1 bed,1 bath,NA,NA
£823 pcm,"Gale Street, London E3",1 bed,1 bath,NA,NA
£672 pcm,"Zetland Street, London E14",1 bed,2 baths,NA,NA
£650 pcm,"Western Avenue, London W3",1 bed,NA,NA,NA
"£3,000 pcm","Fulham Palace Road, London SW6",2 beds,1 bath,1 reception,494 sq. ft
"£2,600 pcm","Dance Square, London EC1V",1 bed,1 bath,1 reception,NA
"£1,500 pcm","Eton Lodge, Rosemary Lane, Mortlake SW14",1 bed,1 bath,1 reception,NA
"£2,085 pcm","West Gate, London W5",2 beds,1 bath,1 reception,NA
"£2,350 pcm","Amhurst Road, London E8",2 beds,1 bath,1 reception,570 sq. ft
"£1,846 pcm","Poplar House, Colindale Gardens, London NW9",1 bed,1 bath,NA,NA
"£2,485 pcm","Ten Degrees, 100A George Street, Croydon CR0",2 beds,2 baths,1 reception,NA
"£3,500 pcm","Susannah Street, London E14",3 beds,1 bath,NA,NA
"£1,850 pcm","Beverley Road, Ruislip HA4",2 beds,1 bath,1 reception,NA
"£2,150 pcm","Priory Road, London NW6",1 bed,1 bath,1 reception,667 sq. ft
"£1,700 pcm","Magpie Close, London NW9",2 beds,1 bath,1 reception,NA
"£2,446 pcm","Scrubs Lane, London NW10",2 beds,1 bath,NA,NA
"£3,600 pcm","Mount Pleasant Road, Walthamstow, London E17",4 beds,2 baths,1 reception,NA
"£3,163 pcm","Sloane Court East, Chelsea, London SW3",1 bed,1 bath,1 reception,NA
"£3,000 pcm","Kensington Church Street, London W8",2 beds,2 baths,1 reception,NA
£750 pcm,"Werndee Road, South Norwood SE25",1 bed,2 baths,NA,NA
"£2,800 pcm","The Downs, London SW20",2 beds,2 baths,1 reception,NA
"£2,000 pcm","Chatsworth Road, London E5",2 beds,1 bath,1 reception,577 sq. ft
"£3,750 pcm","Union Road, Wembley HA0",5 beds,2 baths,1 reception,NA
"£2,200 pcm","Shirley Road, Croydon CR0",3 beds,1 bath,3 receptions,NA
£750 pcm,"Lincoln Road, South Norwood SE25",2 baths,NA,NA,NA
"£1,650 pcm","Cannon Lane, Pinner HA5",2 beds,1 bath,1 reception,NA
"£2,100 pcm","Latham Close, Beckton E6",2 beds,1 bath,1 reception,NA
£810 pcm,"Anson Road, London NW2",1 bed,NA,NA,NA
"£1,668 pcm","Thurston Road, London SE13",1 bath,183 sq. ft,NA,NA
"£4,996 pcm","Portobello Court, Westbourne Grove, London W11",3 beds,2 baths,1 reception,NA
"£5,633 pcm","Sydney Mews, South Kensington, London SW3",3 beds,3 baths,1 reception,NA
"£2,700 pcm","Linksway, Hendon NW4",4 beds,2 baths,1 reception,NA
"£2,900 pcm","Acre Lane, Brixton SW2",3 beds,2 baths,1 reception,NA
"£2,100 pcm","Nelson Road, South Wimbledon SW19",2 beds,1 bath,1 reception,NA
"£3,358 pcm","Crown Lodge, 12 Elystan Street, London SW3",1 bed,1 bath,1 reception,495 sq. ft
"£3,000 pcm","Chiltern Street, London W1U",1 bed,1 bath,1 reception,NA
"£1,610 pcm","George Street, Croydon CR0",1 bed,1 bath,436 sq. ft,NA
"£2,925 pcm","UNCLE Elephant And Castle, London SE11, London,",2 beds,2 baths,1 reception,765 sq. ft
"£4,983 pcm","Casson Square, Southbank, London SE1.",2 beds,2 baths,1 reception,NA
"£1,200 pcm","Chipstead Valley Road, Coulsdon CR5",1 bed,1 bath,1 reception,NA
"£1,450 pcm","Upper Wickham Lane, Welling DA16",1 bed,1 bath,NA,NA
"£3,000 pcm","Cabul Road, London SW11",3 beds,2 baths,1 reception,NA
"£2,900 pcm","The Terrace, 136 Richmond Hill, Richmond TW10",2 beds,1 bath,1 reception,NA
"£1,450 pcm","Carltone Mansions, Finchley Road, London NW3",1 bed,1 bath,1 reception,NA
£975 pcm,"Broxholm Road, London SE27",1 bed,1 bath,NA,NA
£900 pcm,"Parchmore Road, Thornton Heath, Surrey CR7",1 bed,1 bath,NA,NA
"£6,950 pcm","Broomwood Road, London SW11",5 beds,3 baths,2 receptions,2459 sq. ft
"£1,850 pcm","Axio Way, Bow, London E3",1 bed,1 bath,1 reception,554 sq. ft
"£4,290 pcm","Thornhill Crescent, Barnsbury, London N1",2 beds,1 bath,1 reception,1138 sq. ft
"£4,500 pcm","Chipstead Gardens, Gladstone Park, London NW2",3 beds,2 baths,2 receptions,1082 sq. ft
"£1,400 pcm","Grove Park Road, London SE9",1 bed,1 bath,1 reception,NA
"£3,000 pcm","Chipstead Gardens, Gladstone Park, London NW2",3 beds,2 baths,2 receptions,1082 sq. ft
"£3,500 pcm","Muswell Hill, Muswell Hill, London N10",4 beds,2 baths,2 receptions,1445 sq. ft
"£4,250 pcm","Abbey Road EN1, Enfield,",5 beds,3 baths,2 receptions,2615 sq. ft
"£3,400 pcm","Tudor House, One Tower Bridge, Duchess Walk, London SE1",1 bed,1 bath,1 reception,540 sq. ft
"£2,450 pcm","Lindley Road, Leyton E10",4 beds,1 bath,1 reception,NA
"£1,650 pcm","Thurlow Park Road, West Dulwich SE21",2 beds,1 bath,1 reception,NA
"£8,450 pcm","Pont Street, Knightsbridge, London SW1X",1 bed,1 bath,1 reception,737 sq. ft
"£2,995 pcm","St. Pauls Avenue, Harrow HA3",5 beds,2 baths,1 reception,NA
"£1,760 pcm","George Street, Croydon CR0",1 bed,1 bath,1 reception,NA
"£3,500 pcm","The Landau Apartments, 72 Farm Lane, London SW6",2 beds,2 baths,1 reception,802 sq. ft
"£3,198 pcm","Arena Tower, Canary Wharf, London E14",2 beds,2 baths,1 reception,734 sq. ft
"£3,900 pcm","Arena Tower, Canary Wharf, London E14",2 beds,2 baths,1 reception,734 sq. ft
"£4,000 pcm","Bridge Place, London SW1V",2 beds,2 baths,NA,NA
"£4,250 pcm","Barrowgate Road, London W4",2 beds,2 baths,1 reception,NA
"£3,000 pcm","Barrington Road, North Cheam, Sutton SM3",3 beds,2 baths,1 reception,980 sq. ft
"£2,750 pcm","Robsart Street, Brixton, London SW9",2 beds,2 baths,797 sq. ft,NA
"£1,950 pcm","Canal Boulevard, London NW1",2 beds,NA,NA,NA
"£1,900 pcm","Sinclair Road, London W14",1 bed,1 bath,1 reception,NA
"£1,800 pcm","Montpelier Road, London SE15",1 bed,1 bath,1 reception,NA
"£1,975 pcm","Garnet Place, West Drayton UB7",2 beds,2 baths,1 reception,NA
"£3,800 pcm","The Cube, 17-21 Wenlock Road, London N1",3 beds,2 baths,1 reception,1000 sq. ft
"£3,701 pcm","New Drum Street, London E1",2 beds,2 baths,1 reception,NA
"£2,300 pcm","Florence Road, South Wimbledon SW19",2 beds,1 bath,1 reception,NA
"£8,233 pcm","Frognal Lane, London NW3",3 beds,2 baths,1 reception,1288 sq. ft
"£1,750 pcm","East Croft House, 86 Northolt Road, Harrow HA2",2 beds,2 baths,1 reception,NA
"£2,947 pcm","Trinity Road, Tooting Bec SW17",2 beds,1 bath,2 receptions,NA
"£2,496 pcm","Manor Vale, Boston Manor Road, Brentford TW8",2 beds,1 bath,1 reception,NA
"£1,400 pcm","Memorial Avenue, West Ham E15",1 bed,1 bath,1 reception,452 sq. ft
"£8,950 pcm","Homefield Road, Chiswick, London W4",5 beds,3 baths,2 receptions,NA
"£1,650 pcm","87 The Hyde, London NW9",1 bed,1 bath,1 reception,NA
"£4,900 pcm","Redington Road, London NW3",3 beds,2 baths,1 reception,NA
"£1,750 pcm","Platinum House, Lyon Road, Harrow HA1",2 beds,2 baths,1 reception,NA
"£2,200 pcm","Sunnyhill Road, Streatham Hill SW16",2 beds,1 bath,1 reception,NA
"£1,550 pcm","Cleveland Grove, London E1",1 bed,1 bath,1 reception,NA
"£1,100 pcm","Vine Close, West Drayton, Greater London UB7",1 bed,1 bath,1 reception,NA
"£3,000 pcm","47 Mirabelle Gardens, London E20",3 beds,2 baths,1 reception,NA
"£3,200 pcm","Crouch Hill, London N4",5 beds,1 bath,1 reception,NA
£700 pcm,"Vincent Road, Isleworth TW7",1 bed,1 bath,NA,NA
"£2,925 pcm","Chronicle Tower, 261B City Road, London EC1V",1 bed,1 bath,568 sq. ft,NA
"£3,200 pcm","Putney Bridge Road, London SW15",2 beds,2 baths,1 reception,NA
"£9,325 pcm","Park Road, St Johns Wood NW8",4 beds,5 baths,2 receptions,2135 sq. ft
"£2,120 pcm","Bayswater, London W2",1 bed,2 baths,388 sq. ft,NA
"£2,500 pcm","West End Lane, Hampstead NW6",1 bed,1 bath,1 reception,NA
"£1,998 pcm","Ferguson Close, Nr Canary Wharf, London E14",2 beds,1 bath,1 reception,NA
"£1,750 pcm","Hacon Square, Richmond Road, London E8",1 bed,1 bath,1 reception,NA
"£3,750 pcm","The Terrace, 136 Richmond Hill, Richmond TW10",2 beds,2 baths,1 reception,NA
"£5,178 pcm","Maida Avenue, Little Venice W2",3 beds,2 baths,1 reception,NA
"£2,200 pcm","Enfield Road, London N1",1 bed,1 bath,1 reception,700 sq. ft
"£2,700 pcm","Enfield Road, London N1",2 beds,1 bath,1 reception,764 sq. ft
£900 pcm,"Gunnersbury Gardens, London W3",1 bath,NA,NA,NA
"£2,100 pcm","Skyline Plaza, Commercial Road E1",2 beds,1 bath,1 reception,NA
"£1,700 pcm","Lavender Hill, London SW11",1 bed,1 bath,1 reception,NA
"£1,300 pcm","Wood Lane, Isleworth TW7",1 bed,1 bath,NA,NA
"£2,750 pcm","Clay, Alto, Wembley HA9",2 beds,1 bath,NA,NA
"£1,750 pcm","Icon Apartments, Duckett Street E1",1 bed,1 bath,1 reception,NA
"£2,795 pcm","Bethune Road, London N16",4 beds,1 bath,1 reception,NA
"£4,550 pcm","Melcombe Court, Dorset Square, Baker Street NW1",4 beds,NA,NA,NA
"£5,500 pcm","Kiddapore Avenue, London NW3",3 beds,2 baths,1 reception,NA
"£12,177 pcm","Rainville Road, London W6",3 beds,3 baths,2 receptions,1872 sq. ft
"£1,550 pcm","Stanley Road, North Chingford E4",1 bed,1 bath,1 reception,NA
"£3,400 pcm","Marsh Wall, London E14",2 beds,2 baths,1 reception,859 sq. ft
"£36,833 pcm","Palace Gardens Terrace, London W8",3 beds,1 bath,1 reception,NA
"£2,400 pcm","New Road, Ilford IG3",1 bed,1 bath,1 reception,470 sq. ft
"£2,150 pcm","Earl's Court Square, London SW5",2 beds,1 bath,1 reception,NA
"£2,300 pcm","Bethnal Green Road, Bethnal Green, London E2",2 beds,2 baths,1 reception,1354 sq. ft
"£6,933 pcm","Eaton Place, London SW1X",1 bed,1 bath,NA,NA
"£1,100 pcm","Wood Lane, Isleworth TW7",1 bed,1 bath,1 reception,522 sq. ft
"£1,375 pcm","Finchley Road, London NW11",1 bath,1 reception,NA,NA
"£5,200 pcm","Boydell Court, St Johns Wood, London NW8",3 beds,2 baths,1 reception,1088 sq. ft
"£2,900 pcm","Putney High Street, London SW15",3 beds,2 baths,1 reception,NA
"£1,775 pcm","Westgate House, London W5",1 bed,1 bath,1 reception,512 sq. ft
£650 pcm,"Lamberhurst Road, Dagenham RM8",1 bed,1 bath,NA,NA
"£1,400 pcm","King Street, London W6",1 bed,1 bath,1 reception,NA
"£2,950 pcm","The Hyde, London NW9",3 beds,2 baths,1 reception,NA
"£7,500 pcm","Fitzjohns Avenue, Hampstead NW3",3 beds,3 baths,1 reception,1598 sq. ft
"£1,650 pcm","Oakleigh Road North, London N20",1 bed,1 bath,1 reception,NA
"£3,700 pcm","Long Lane, London SE1",3 beds,3 baths,1 reception,NA
"£1,950 pcm","Gilpin House, Fore Street, London N9",2 beds,1 bath,1 reception,NA
"£9,967 pcm","Lexham Gardens, London W8",4 beds,5 baths,1 reception,1505 sq. ft
"£1,800 pcm","Scarborough Road, London N4",1 bed,1 bath,1 reception,NA
"£1,300 pcm","Twickenham Road, Isleworth TW7",1 bed,1 bath,1 reception,NA
£900 pcm,"Gayton Road, Harrow-On-The-Hill, Harrow HA1",1 bath,1 reception,NA,NA
"£1,800 pcm","115 Rosefinch Apartments, London NW9",1 bed,1 bath,1 reception,581 sq. ft
"£3,500 pcm","Maresfield Gardens, Hampstead NW3",2 beds,1 bath,1 reception,NA
"£2,650 pcm","Mapleton Crescent, Wandsworth SW18",2 beds,2 baths,1 reception,NA
"£2,250 pcm","Thames Road, London W4",3 beds,1 bath,1 reception,NA
"£2,700 pcm","Rita Rd, London SW8",3 beds,2 baths,1 reception,NA
"£2,700 pcm","Stopford Road, London E13",3 beds,2 baths,1 reception,NA
"£1,200 pcm","Elmers End Road, London SE20",1 bed,1 bath,NA,NA
"£5,000 pcm","Clifton Court, Northwick Terrace NW8",3 beds,3 baths,1 reception,NA
"£9,850 pcm","L-000066, 28 Circus Road West, Battersea SW11",3 beds,3 baths,1 reception,NA
"£1,100 pcm","Frobisher Road, Erith, Kent DA8",1 bed,NA,NA,NA
"£1,538 pcm","Quernmore Road, Harringey N4",1 bed,1 bath,1 reception,NA
"£1,538 pcm","Quernmore Road, Harringey N4",1 bed,1 bath,1 reception,NA
"£7,150 pcm","Emperors Gate, South Kensington SW7",3 beds,2 baths,1 reception,NA
"£1,750 pcm","Highwood Hill, London NW7",4 beds,3 baths,2 receptions,1954 sq. ft
"£12,978 pcm","Sterling Street, London SW7",1 bed,1 bath,1 reception,NA
"£2,600 pcm","Sloane Avenue, London SW3",1 bath,NA,NA,NA
"£1,250 pcm","Oaklands Grove, London W12",3 beds,2 baths,1 reception,NA
"£2,890 pcm","George Street, Croydon CR0",1 bed,1 bath,1 reception,NA
"£1,900 pcm","Scarborough Road, London N4",1 bed,1 bath,1 reception,712 sq. ft
"£4,814 pcm","Grosvenor Hill, London W1K",1 bed,1 bath,1 reception,NA
"£1,450 pcm","Little Heath, Chadwell Heath, Romford RM6",2 beds,2 baths,1 reception,NA
"£4,983 pcm","Casson Square, London SE1",1 bath,NA,NA,NA
"£1,950 pcm","Philbeach Gardens, London SW5",1 bed,1 bath,1 reception,NA
"£1,300 pcm","Girton Close, Northolt UB5",2 beds,2 baths,1 reception,NA
"£2,750 pcm","Quaker Street, Shoredtich E1",2 beds,1 bath,1 reception,NA
"£1,650 pcm","Ilford Lane, Ilford IG1",1 bed,1 bath,1 reception,NA
"£1,550 pcm","Girton Close, Northolt UB5",3 beds,2 baths,2 receptions,NA
"£8,233 pcm","Kingston House South, Ennismore Gardens SW7",3 beds,1 bath,1 reception,NA
"£2,400 pcm","Bow Common Lane, London E3",2 beds,1 bath,1 reception,NA
"£1,800 pcm","Girton Close, Northolt UB5",2 beds,1 bath,NA,NA
"£2,150 pcm","Yeading Lane, Northolt UB5",4 beds,2 baths,1 reception,NA
"£3,900 pcm","Langham Place, London W4",3 beds,2 baths,2 receptions,NA
"£2,400 pcm","Sydney Road, Abbey Wood SE2",3 beds,1 bath,1 reception,NA
"£2,800 pcm","Mile End Road, Whitechapel E1",2 beds,1 bath,1 reception,614 sq. ft
"£3,467 pcm","Harcourt Tower, 67 Marsh Wall, London E14",2 beds,2 baths,1 reception,843 sq. ft
"£4,442 pcm","Fulham Road, London SW3",2 beds,2 baths,NA,NA
"£3,900 pcm","Water Street, London E14",2 beds,1 bath,1 reception,NA
"£3,500 pcm","Maresfield Gardens, Hampstead NW3",3 beds,1 bath,1 reception,686 sq. ft
"£2,000 pcm","Jasper Road, London E16",1 bed,1 bath,NA,NA
"£1,125 pcm","Alexandra Road, Mitcham CR4",1 bed,1 bath,1 reception,NA
